sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
69.251,10.175,9.947,54.845,45.400,ott,2013-10-31 13:51:00,-0.158,-0.025,-0.188,0.014,-0.148,-0.191,-0.126,-0.071
84.569,9.175,7.603,59.099,49.920,brd,2013-10-31 13:51:00,-0.053,-0.020,-0.047,-0.016,-0.079,-0.033,-0.059,-0.023
96.281,7.175,5.936,55.289,49.320,pen,2013-10-31 13:51:00,-8735744135151773519403365419448572837888.000,-69278639519360278528.000,-8726564952666291548202578199723519246336.000,-69278639519360278528.000,-8726564952666291548202578199723519246336.000,-69278639519360278528.000,,
71.818,10.525,11.124,54.831,45.400,ott,2013-12-22 15:12:00,-0.103,-0.132,-0.200,0.060,0.302,-0.800,0.028,-0.344
84.148,9.525,8.780,59.091,49.920,brd,2013-12-22 15:12:00,-0.053,-0.012,-0.048,-0.011,-0.071,-0.018,-0.057,-0.014
93.552,7.525,7.113,55.286,49.320,pen,2013-12-22 15:12:00,-20169918908631386833828163951896513478656.000,-114421350105365561344.000,-20169918908631386833828163951896513478656.000,-114421350105365561344.000,-20169918908631386833828163951896513478656.000,-114421350105365561344.000,,
63.851,11.508,11.711,54.820,45.400,ott,2014-01-30 16:11:00,-0.557,-1.172,-0.731,-1.403,0.240,0.143,-0.307,-0.795
74.468,10.508,9.367,59.086,49.920,brd,2014-01-30 16:11:00,0.006,0.023,0.040,0.041,-0.172,-0.062,-0.037,-0.000
82.753,8.508,7.700,55.284,49.320,pen,2014-01-30 16:11:00,-0.201,-0.168,-0.179,-0.151,-0.302,-0.235,-0.221,-0.185
64.427,13.508,13.534,54.819,45.400,ott,2014-02-02 18:11:00,-0.742,0.393,-0.875,0.508,-0.224,-0.019,-0.549,0.255
66.858,12.508,11.190,59.085,49.920,brd,2014-02-02 18:11:00,0.046,0.037,0.063,0.048,-0.059,-0.016,0.021,0.022
69.787,10.508,9.524,55.284,49.320,pen,2014-02-02 18:11:00,-0.590,0.263,-0.718,0.472,-0.049,-0.360,-0.414,0.054
54.645,16.308,15.801,54.800,45.400,ott,2014-04-16 19:59:00,0.067,0.025,0.075,0.030,0.004,-0.004,0.050,0.017
44.673,15.308,13.458,59.075,49.920,brd,2014-04-16 19:59:00,-2.176,0.330,-2.367,0.400,-1.027,-0.006,-1.790,0.215
39.383,13.308,11.791,55.280,49.320,pen,2014-04-16 19:59:00,-3.471,-1.910,-3.738,-2.107,-1.658,-0.007,-2.908,-1.500
41.187,15.842,15.487,54.786,45.400,ott,2014-06-06 19:31:00,-5.712,-0.881,-6.088,-1.078,-3.048,-0.058,-4.871,-0.475
30.794,14.842,13.145,59.067,49.920,brd,2014-06-06 19:31:00,-1.154,-0.123,-1.246,-0.142,-0.487,-0.004,-0.944,-0.089
